candidate,round,predicted_cycles,time_ms,schedule
1,11,1.12646e+07,0.113389,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
1,12,1.12646e+07,0.167824,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
1,13,1.12646e+07,0.162747,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
1,14,1.12646e+07,0.143094,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
1,15,1.12646e+07,0.253876,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
1,16,1.12646e+07,0.247995,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
1,17,1.12646e+07,0.27225,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
1,18,1.12646e+07,0.201195,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
1,19,1.12646e+07,0.185832,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,0,1.12646e+07,0.060624,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,1,1.12646e+07,0.064727,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,2,1.12646e+07,0.136185,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,3,1.12646e+07,0.127575,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,4,1.12646e+07,0.169699,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,5,1.12646e+07,0.148423,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,6,1.12646e+07,0.219927,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,7,1.12646e+07,0.055784,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,8,1.12646e+07,0.078187,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,9,1.12646e+07,0.086129,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,10,1.12646e+07,0.04922,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,11,1.12646e+07,0.125217,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,12,1.12646e+07,0.185112,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,13,1.12646e+07,0.049936,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,14,1.12646e+07,0.107555,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,15,1.12646e+07,0.19118,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,16,1.12646e+07,0.178128,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,17,1.12646e+07,0.109153,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,18,1.12646e+07,0.16379,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
2,19,1.12646e+07,0.113808,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,0,1.12646e+07,0.113172,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,1,1.12646e+07,0.156792,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,2,1.12646e+07,0.083664,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,3,1.12646e+07,0.085438,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,4,1.12646e+07,0.107329,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,5,1.12646e+07,0.082261,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,6,1.12646e+07,0.088626,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,7,1.12646e+07,0.110576,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,8,1.12646e+07,0.094412,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,9,1.12646e+07,0.07972,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
