sequence,heads,kv_heads,head_dim,strategy,qtile,kvtile,temporary_bytes,bytes_read,bytes_written,arithmetic_intensity,qk_tiles,skipped_causal_tiles,score_evaluations,exp_evaluations,reduction_operations,l2_traffic,llc_traffic,l2_hit_rate,llc_hit_rate
512,8,8,128,auto-io-aware,16,32,82944,6.29146e+06,2.09715e+06,64.125,2176,1920,1.05062e+06,1.11616e+06,2.10125e+06,1.38412e+08,8.38861e+06,0.939394,0
1024,8,8,128,materialized,16,32,67108864,7.96918e+07,7.13032e+07,14.2361,8448,7936,4.1984e+06,4.46054e+06,8.3968e+06,2.18104e+08,1.50995e+08,0.307692,0
1024,8,8,128,tiled-materialized,32,64,67108864,7.96918e+07,7.13032e+07,14.2361,2176,1920,4.1984e+06,4.32947e+06,8.3968e+06,2.18104e+08,1.50995e+08,0.307692,0
1024,8,8,128,io-aware,32,64,198656,1.25829e+07,4.1943e+06,128.125,2176,1920,4.1984e+06,4.32947e+06,8.3968e+06,2.76824e+08,1.67772e+07,0.939394,0
1024,8,8,128,auto-io-aware,16,32,82944,1.25829e+07,4.1943e+06,128.125,8448,7936,4.1984e+06,4.46054e+06,8.3968e+06,5.4526e+08,1.67772e+07,0.969231,0
2048,8,8,128,materialized,16,32,268435456,2.93601e+08,2.76824e+08,15.0662,33280,32256,1.67854e+07,1.7834e+07,3.35708e+07,8.38861e+08,5.70425e+08,0.32,0
2048,8,8,128,tiled-materialized,32,64,268435456,2.93601e+08,2.76824e+08,15.0662,8448,7936,1.67854e+07,1.73097e+07,3.35708e+07,8.38861e+08,5.70425e+08,0.32,0
2048,8,8,128,io-aware,32,64,198656,2.51658e+07,8.38861e+06,256.125,8448,7936,1.67854e+07,1.73097e+07,3.35708e+07,1.09052e+09,3.35544e+07,0.969231,0
2048,8,8,128,auto-io-aware,16,32,82944,2.51658e+07,8.38861e+06,256.125,33280,32256,1.67854e+07,1.7834e+07,3.35708e+07,2.16426e+09,3.35544e+07,0.984496,0
4096,8,8,128,materialized,16,32,1073741824,1.12407e+09,1.09052e+09,15.5189,132096,130048,6.71252e+07,7.13196e+07,1.3425e+08,3.28833e+09,2.21459e+09,0.326531,0
4096,8,8,128,tiled-materialized,32,64,1073741824,1.12407e+09,1.09052e+09,15.5189,33280,32256,6.71252e+07,6.92224e+07,1.3425e+08,3.28833e+09,2.21459e+09,0.326531,0
4096,8,8,128,io-aware,32,64,198656,4.31174e+09,1.67772e+07,7.93992,33280,32256,6.71252e+07,6.92224e+07,1.3425e+08,4.32852e+09,4.32852e+09,0,0
4096,8,8,128,auto-io-aware,16,32,82944,8.60671e+09,1.67772e+07,3.98541,132096,130048,6.71252e+07,7.13196e+07,1.3425e+08,8.62349e+09,8.62349e+09,0,0
128,12,12,64,materialized,32,32,1572864,2.75251e+06,1.96608e+06,5.375,120,72,99072,105216,198144,6.29146e+06,4.71859e+06,0.25,0
128,12,12,64,tiled-materialized,32,64,1572864,2.75251e+06,1.96608e+06,5.375,72,24,99072,102144,198144,6.29146e+06,4.71859e+06,0.25,0
128,12,12,64,io-aware,32,64,133120,1.17965e+06,393216,16.125,72,24,99072,102144,198144,3.93216e+06,1.57286e+06,0.6,0
128,12,12,64,auto-io-aware,32,32,100352,1.17965e+06,393216,16.125,120,72,99072,105216,198144,3.93216e+06,1.57286e+06,0.6,0
256,12,12,64,materialized,32,32,6291456,8.65075e+06,7.07789e+06,6.425,432,336,394752,419328,789504,2.20201e+07,1.57286e+07,0.285714,0
256,12,12,64,tiled-materialized,32,64,6291456,8.65075e+06,7.07789e+06,6.425,240,144,394752,407040,789504,2.20201e+07,1.57286e+07,0.285714,0
256,12,12,64,io-aware,32,64,133120,2.3593e+06,786432,32.125,240,144,394752,407040,789504,1.41558e+07,3.14573e+06,0.777778,0
256,12,12,64,auto-io-aware,32,32,100352,2.3593e+06,786432,32.125,432,336,394752,419328,789504,1.41558e+07,3.14573e+06,0.777778,0
512,12,12,64,materialized,32,32,25165824,2.98844e+07,2.67387e+07,7.125,1632,1440,1.57594e+06,1.67424e+06,3.15187e+06,8.17889e+07,5.66231e+07,0.307692,0
512,12,12,64,tiled-materialized,32,64,25165824,2.98844e+07,2.67387e+07,7.125,864,672,1.57594e+06,1.62509e+06,3.15187e+06,8.17889e+07,5.66231e+07,0.307692,0
512,12,12,64,io-aware,32,64,133120,4.71859e+06,1.57286e+06,64.125,864,672,1.57594e+06,1.62509e+06,3.15187e+06,5.34774e+07,6.29146e+06,0.882353,0
512,12,12,64,auto-io-aware,32,32,100352,4.71859e+06,1.57286e+06,64.125,1632,1440,1.57594e+06,1.67424e+06,3.15187e+06,5.34774e+07,6.29146e+06,0.882353,0
1024,12,12,64,materialized,32,32,100663296,1.101e+08,1.03809e+08,7.53676,6336,5952,6.2976e+06,6.69082e+06,1.25952e+07,3.14573e+08,2.1391e+08,0.32,0
1024,12,12,64,tiled-materialized,32,64,100663296,1.101e+08,1.03809e+08,7.53676,3264,2880,6.2976e+06,6.49421e+06,1.25952e+07,3.14573e+08,2.1391e+08,0.32,0
1024,12,12,64,io-aware,32,64,133120,9.43718e+06,3.14573e+06,128.125,3264,2880,6.2976e+06,6.49421e+06,1.25952e+07,2.07618e+08,1.25829e+07,0.939394,0
