candidate,round,predicted_cycles,time_ms,schedule
1,11,1.12646e+07,0.113499,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=true"
1,12,1.12646e+07,0.167554,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=true"
1,13,1.12646e+07,0.192491,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=true"
1,14,1.12646e+07,0.193534,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=true"
1,15,1.12646e+07,0.114209,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=true"
1,16,1.12646e+07,0.114344,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=true"
1,17,1.12646e+07,1.47846,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=true"
1,18,1.12646e+07,0.188824,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=true"
1,19,1.12646e+07,0.167685,"order=ikj;outer=64,128,32;tile=16,64,16;micro=1,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=true"
2,0,1.12646e+07,0.053299,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=true"
2,1,1.12646e+07,0.126251,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=true"
2,2,1.12646e+07,0.136016,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=true"
2,3,1.12646e+07,0.103681,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=true"
